   n, x, y, z
  774, -64, 33, 61
  775, 6, 6, 7
  776, -6, -2, 10
  778, , , 
  779, , , 
  780, -31, -13, 32
  781, -940, -358, 957
  782, -7, 5, 10
  783, 3, 3, 9
  784, -6, 0, 10
  785, -2, 4, 9
  787, , , 
  788, , , 
  790, -4, 5, 9
  791, -4, 7, 8
  792, 4, 6, 8
  793, 0, 4, 9
  794, 1, 4, 9
  796, , , 
  797, , , 
  798, -19, 14, 17
  799, -601, 444, 506
  800, -12, -6, 14
  801, 2, 4, 9
  802, -11, -4, 13
  803, -77, -72, 94
  804, -995, -830, 1159
  805, , , 
  806, , , 
  807, -82, -73, 98
  808, -6, 8, 8
  809, -15, -9, 17
  810, -22, 13, 21
  811, 5, 7, 7
  812, -12, 7, 13
  813, -2981, 835, 2959
  814, , , 
  815, , , 
  816, -16, -1, 17
  817, -16, 0, 17
  818, -9, 6, 11
  819, -8, 0, 11
  820, 3, 4, 9
  821, -908, 420, 877
  822, -17, -17, 22
  823, , , 
  824, , , 
  825, -16, 2, 17
  826, -1335, -1183, 1592
  827, -3, 5, 9
  828, -3, 7, 8
  829, -353, -327, 429
  831, -8, 7, 10
  832, , , 
  833, , , 
  835, -13, -7, 15
  836, -706, 253, 695
  837, -18, -11, 20
  838, -14, -11, 17
  839, -11, -3, 13
  840, -14, -8, 16
  841, , , 
  842, , , 
  843, -10, 8, 11
  844, -16, 3, 17
  845, -16, 13, 14
  846, -2, 5, 9
  847, -2, 7, 8
  848, -5, -3, 10
  849, -62, -47, 70
  850, , , 
  851, , , 
  852, -175, 131, 146
  853, 5, 6, 8
  854, 0, 5, 9
  855, 0, 7, 8
  856, 1, 7, 8
  857, 4, 4, 9
  858, -11, -2, 13
  859, , , 
  860, , , 
  862, 2, 5, 9
  863, 2, 7, 8
  864, -138, 95, 121
  865, -11, -1, 13
  866, -11, 0, 13
  867, -5, -2, 10
  868, , , 
  869, , , 
  871, -559, 155, 555
  872, -4, -4, 10
  873, -7, 6, 10
  874, -5, -1, 10
  875, -5, 0, 10
  876, -5, 1, 10
  877, , , 
  878, , , 
  879, -379, -193, 395
  880, -16935, 3167, 16898
  881, 3, 5, 9
  882, 3, 7, 8
  883, -5, 2, 10
  884, -25766, 14667, 24073
  885, -1364, -458, 1381
  886, , , 
  887, , , 
  888, -46, -37, 53
  889, -288, 224, 233
  890, -13, 7, 14
  891, -12, -5, 14
  892, -17, -3, 18
  893, -11, 3, 13
  895, , , 
  896, , , 
  897, -2359, 1274, 2228
  898, -7, 8, 9
  899, -5, 8, 8
  900, -29, -22, 33
  901, -11, -8, 14
  902, 6, 7, 7
  904, , , 
  905, , , 
  907, -88, 48, 83
  908, -1093, 153, 1092
  909, -4, -3, 10
  910, -29, -26, 35
  911, -17, 12, 16
  913, , , 
  914, , , 
  915, -19924, 9254, 19235
  916, -37, 17, 36
  917, -31, -23, 35
  918, 4, 5, 9
  919, 4, 7, 8
  920, -17, 1, 18
  922, , , 
  923, , , 
  924, -7, -4, 11
  925, -19, -6, 20
  926, -385, 240, 351
  927, -17, 2, 18
  928, -4, -2, 10
  929, -56, 33, 52
  930, -11, 4, 13
  931, , , 
  932, , , 
  934, -12, 11, 11
  935, -4, -1, 10
  936, -4, 0, 10
  937, -2, 6, 9
  938, -27, -11, 28
  939, -5, 4, 10
  940, , , 
  941, , , 
