# List of solutions for: n = x³ + y³ + z³  with n=[0..10000] and negative z
2549 = 48³ + 46³ - 59³
9036 = 48³ + 47³ - 59³
3297 = 49³ + 22³ - 50³
4816 = 49³ + 23³ - 50³
6473 = 49³ + 24³ - 50³
8274 = 49³ + 25³ - 50³
2574 = 49³ + 26³ - 51³
4681 = 49³ + 27³ - 51³
6950 = 49³ + 28³ - 51³
9387 = 49³ + 29³ - 51³
4041 = 49³ + 30³ - 52³
6832 = 49³ + 31³ - 52³
9809 = 49³ + 32³ - 52³
4709 = 49³ + 33³ - 53³
8076 = 49³ + 34³ - 53³
3060 = 49³ + 35³ - 54³
6841 = 49³ + 36³ - 54³
1927 = 49³ + 37³ - 55³
6146 = 49³ + 38³ - 55³
1352 = 49³ + 39³ - 56³
6033 = 49³ + 40³ - 56³
1377 = 49³ + 41³ - 57³
6544 = 49³ + 42³ - 57³
2044 = 49³ + 43³ - 58³
7721 = 49³ + 44³ - 58³
3395 = 49³ + 45³ - 59³
9606 = 49³ + 46³ - 59³
5472 = 49³ + 47³ - 60³
1260 = 49³ + 48³ - 61³
2997 = 50³ + 22³ - 51³
4516 = 50³ + 23³ - 51³
6173 = 50³ + 24³ - 51³
9925 = 50³ + 26³ - 51³
4075 = 50³ + 27³ - 52³
6344 = 50³ + 28³ - 52³
8781 = 50³ + 29³ - 52³
3123 = 50³ + 30³ - 53³
5914 = 50³ + 31³ - 53³
8891 = 50³ + 32³ - 53³
3473 = 50³ + 33³ - 54³
1500 = 50³ + 35³ - 55³
5281 = 50³ + 36³ - 55³
9278 = 50³ + 37³ - 55³
4256 = 50³ + 38³ - 56³
8703 = 50³ + 39³ - 56³
3807 = 50³ + 40³ - 57³
8728 = 50³ + 41³ - 57³
3976 = 50³ + 42³ - 58³
9395 = 50³ + 43³ - 58³
4805 = 50³ + 44³ - 59³
1842 = 50³ + 47³ - 61³
8611 = 50³ + 48³ - 61³
4321 = 50³ + 49³ - 62³
2691 = 51³ + 22³ - 52³
4210 = 51³ + 23³ - 52³
5867 = 51³ + 24³ - 52³
7668 = 51³ + 25³ - 52³
9619 = 51³ + 26³ - 52³
3457 = 51³ + 27³ - 53³
5726 = 51³ + 28³ - 53³
8163 = 51³ + 29³ - 53³
2187 = 51³ + 30³ - 54³
4978 = 51³ + 31³ - 54³
7955 = 51³ + 32³ - 54³
2213 = 51³ + 33³ - 55³
5580 = 51³ + 34³ - 55³
9151 = 51³ + 35³ - 55³
3691 = 51³ + 36³ - 56³
7688 = 51³ + 37³ - 56³
2330 = 51³ + 38³ - 57³
6777 = 51³ + 39³ - 57³
1539 = 51³ + 40³ - 58³
6460 = 51³ + 41³ - 58³
1360 = 51³ + 42³ - 59³
6779 = 51³ + 43³ - 59³
1835 = 51³ + 44³ - 60³
7776 = 51³ + 45³ - 60³
3006 = 51³ + 46³ - 61³
9493 = 51³ + 47³ - 61³
253 = 51³ + 49³ - 63³
7604 = 51³ + 50³ - 63³
2379 = 52³ + 22³ - 53³
3898 = 52³ + 23³ - 53³
5555 = 52³ + 24³ - 53³
7356 = 52³ + 25³ - 53³
9307 = 52³ + 26³ - 53³
2827 = 52³ + 27³ - 54³
5096 = 52³ + 28³ - 54³
1233 = 52³ + 30³ - 55³
4024 = 52³ + 31³ - 55³
7001 = 52³ + 32³ - 55³
929 = 52³ + 33³ - 56³
4296 = 52³ + 34³ - 56³
7867 = 52³ + 35³ - 56³
2071 = 52³ + 36³ - 57³
6068 = 52³ + 37³ - 57³
368 = 52³ + 38³ - 58³
4815 = 52³ + 39³ - 58³
9496 = 52³ + 40³ - 58³
4150 = 52³ + 41³ - 59³
9317 = 52³ + 42³ - 59³
4115 = 52³ + 43³ - 60³
9792 = 52³ + 44³ - 60³
4752 = 52³ + 45³ - 61³
6103 = 52³ + 47³ - 62³
1153 = 52³ + 48³ - 63³
8210 = 52³ + 49³ - 63³
3464 = 52³ + 50³ - 64³
2061 = 53³ + 22³ - 54³
3580 = 53³ + 23³ - 54³
5237 = 53³ + 24³ - 54³
7038 = 53³ + 25³ - 54³
8989 = 53³ + 26³ - 54³
2185 = 53³ + 27³ - 55³
4454 = 53³ + 28³ - 55³
6891 = 53³ + 29³ - 55³
9502 = 53³ + 30³ - 55³
3052 = 53³ + 31³ - 56³
6029 = 53³ + 32³ - 56³
9198 = 53³ + 33³ - 56³
2988 = 53³ + 34³ - 57³
6559 = 53³ + 35³ - 57³
421 = 53³ + 36³ - 58³
4418 = 53³ + 37³ - 58³
8637 = 53³ + 38³ - 58³
2817 = 53³ + 39³ - 59³
1798 = 53³ + 41³ - 60³
6965 = 53³ + 42³ - 60³
1403 = 53³ + 43³ - 61³
7080 = 53³ + 44³ - 61³
1674 = 53³ + 45³ - 62³
7885 = 53³ + 46³ - 62³
2653 = 53³ + 47³ - 63³
9422 = 53³ + 48³ - 63³
4382 = 53³ + 49³ - 64³
1989 = 53³ + 52³ - 66³
